,0
0,46.0
1,44.0
2,46.0
3,44.0
4,40.0
5,36.0
6,36.0
7,36.0
8,34.0
9,32.0
10,29.0
11,29.0
12,28.0
13,26.0
14,27.0
15,26.0
16,25.0
17,24.0
18,23.0
19,24.0
20,25.0
21,24.0
22,23.0
23,22.0
24,23.0
25,20.0
26,22.0
27,21.0
28,20.0
29,16.0
30,16.0
31,16.0
32,16.0
33,15.0
34,15.0
35,16.0
36,14.0
37,14.0
38,14.0
39,13.0
40,14.0
41,13.0
42,12.0
43,13.0
44,13.0
45,13.0
46,12.0
47,10.0
48,11.0
49,11.0
50,12.0
51,13.0
52,12.0
53,12.0
54,13.0
55,16.0
56,15.0
57,17.0
58,16.0
59,17.0
60,15.0
61,18.0
62,18.0
63,20.0
64,21.0
65,22.0
66,26.0
67,28.0
68,32.0
69,32.0
70,31.0
71,29.0
72,30.0
73,33.0
74,37.0
75,43.0
76,49.0
77,48.0
78,50.0
79,54.0
80,60.0
81,62.0
82,60.0
83,58.0
84,56.0
85,57.0
86,64.0
87,69.0
88,75.0
89,78.0
90,77.0
91,81.0
92,89.0
93,91.0
94,89.0
95,88.0
96,86.0
97,87.0
98,87.0
99,91.0
100,95.0
101,94.0
102,97.0
103,105.0
104,109.0
105,112.0
106,109.0
107,105.0
108,98.0
109,100.0
110,99.0
111,102.0
112,106.0
113,110.0
114,111.0
115,116.0
116,114.0
117,126.0
118,120.0
119,118.0
120,116.0
121,111.0
122,117.0
123,122.0
124,118.0
125,124.0
126,127.0
127,126.0
128,127.0
129,132.0
130,135.0
131,125.0
132,124.0
133,128.0
134,128.0
135,126.0
136,133.0
137,133.0
138,133.0
139,129.0
140,134.0
141,138.0
142,135.0
143,138.0
144,136.0
145,137.0
146,134.0
147,134.0
148,140.0
149,136.0
150,138.0
151,138.0
152,139.0
153,138.0
154,139.0
155,128.0
156,138.0
157,134.0
158,136.0
159,132.0
160,139.0
161,139.0
162,131.0
163,134.0
164,140.0
165,138.0
166,129.0
167,133.0
168,134.0
169,131.0
170,130.0
171,134.0
172,133.0
173,130.0
174,134.0
175,134.0
176,128.0
177,136.0
178,135.0
179,137.0
180,139.0
181,142.0
182,139.0
183,140.0
184,140.0
185,140.0
186,136.0
187,139.0
188,138.0
189,143.0
190,141.0
191,135.0
192,134.0
193,136.0
194,132.0
195,131.0
196,138.0
197,132.0
198,135.0
199,134.0
200,143.0
201,133.0
202,138.0
203,132.0
204,132.0
205,132.0
206,129.0
207,128.0
208,130.0
209,134.0
210,132.0
211,132.0
212,129.0
213,128.0
214,129.0
215,129.0
216,122.0
217,126.0
218,128.0
219,130.0
220,129.0
221,124.0
